Date : 2024-04-21 13:46:32
Directory : d:\DevelopTools\Code\VSCode\Project\zhihu
Total : 105 files,  5797 codes, 250 comments, 636 blanks, all 6683 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| bin\src\main\resources (Files)                                                                                    |          1 |          3 |          0 |          2 |          5 |
| bin\src\main\resources\static                                                                                     |         18 |      1,195 |         41 |         89 |      1,325 |
| bin\src\main\resources\static\css                                                                                 |         15 |      1,111 |         35 |         82 |      1,228 |
| bin\src\main\resources\static\js                                                                                  |          3 |         84 |          6 |          7 |         97 |
| bin\src\main\resources\templates                                                                                  |          5 |        169 |          7 |         22 |        198 |
| bin\src\main\resources\templates (Files)                                                                          |          1 |         32 |          6 |         10 |         48 |
| bin\src\main\resources\templates\HomePage_Unit                                                                    |          4 |        137 |          1 |         12 |        150 |
| bin\src\test                                                                                                      |          1 |         17 |          0 |          1 |         18 |
| bin\src\test\java                                                                                                 |          1 |         17 |          0 |          1 |         18 |
| bin\src\test\java\com                                                                                             |          1 |         17 |          0 |          1 |         18 |
| bin\src\test\java\com\baidu                                                                                       |          1 |         17 |          0 |          1 |         18 |
| bin\src\test\java\com\baidu\zhihu                                                                                 |          1 |         17 |          0 |          1 |         18 |
| src                                                                                                               |         57 |      3,167 |         94 |        404 |      3,665 |
| src (Files)                                                                                                       |          1 |          0 |          0 |          1 |          1 |
| src\main                                                                                                          |         55 |      3,158 |         94 |        398 |      3,650 |
| src\main\java                                                                                                     |         19 |      1,028 |         43 |        223 |      1,294 |
| src\main\java\com                                                                                                 |         19 |      1,028 |         43 |        223 |      1,294 |
| src\main\java\com\baidu                                                                                           |         19 |      1,028 |         43 |        223 |      1,294 |
| src\main\java\com\baidu\zhihu                                                                                     |         19 |      1,028 |         43 |        223 |      1,294 |
| src\main\java\com\baidu\zhihu (Files)                                                                             |          1 |          9 |          0 |          5 |         14 |
| src\main\java\com\baidu\zhihu\control                                                                             |          3 |        228 |          3 |         39 |        270 |
| src\main\java\com\baidu\zhihu\model                                                                               |          7 |        206 |         10 |         79 |        295 |
| src\main\java\com\baidu\zhihu\model (Files)                                                                       |          6 |        166 |          5 |         66 |        237 |
| src\main\java\com\baidu\zhihu\model\abstractClass                                                                 |          1 |         40 |          5 |         13 |         58 |
| src\main\java\com\baidu\zhihu\service                                                                             |          8 |        585 |         30 |        100 |        715 |
| src\main\java\com\baidu\zhihu\service (Files)                                                                     |          4 |         40 |         19 |         32 |         91 |
| src\main\java\com\baidu\zhihu\service\impl                                                                        |          4 |        545 |         11 |         68 |        624 |
| src\main\resources                                                                                                |         36 |      2,130 |         51 |        175 |      2,356 |
| src\main\resources (Files)                                                                                        |          1 |          3 |          0 |          2 |          5 |
| src\main\resources\static                                                                                         |         25 |      1,740 |         23 |        124 |      1,887 |
| src\main\resources\static\css                                                                                     |         21 |      1,500 |          0 |        109 |      1,609 |
| src\main\resources\static\js                                                                                      |          4 |        240 |         23 |         15 |        278 |
| src\main\resources\templates                                                                                      |         10 |        387 |         28 |         49 |        464 |
| src\main\resources\templates (Files)                                                                              |          4 |        145 |         26 |         35 |        206 |
| src\main\resources\templates\homepage_unit                                                                        |          1 |         99 |          1 |          0 |        100 |
| src\main\resources\templates\unit                                                                                 |          4 |        136 |          1 |         12 |        149 |
| src\main\resources\templates\userpage_unit                                                                        |          1 |          7 |          0 |          2 |          9 |
| src\test                                                                                                          |          1 |          9 |          0 |          5 |         14 |
| src\test\java                                                                                                     |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com                                                                                                 |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com\baidu                                                                                           |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com\baidu\zhihu                                                                                     |          1 |          9 |          0 |          5 |         14 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                          | language        | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| d:\DevelopTools\Code\VSCode\Project\zhihu\.mvn\wrapper\maven-wrapper.properties                                   | Java Properties |          2 |          0 |          1 |          3 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\README.md                                                               | Markdown        |        115 |          0 |         14 |        129 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\.mvn\wrapper\maven-wrapper.properties                               | Java Properties |          2 |          0 |          1 |          3 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\mvnw.cmd                                                            | Batch           |        118 |         51 |         37 |        206 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\pom.xml                                                             | XML             |         63 |          3 |          6 |         72 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\README.md                                                       | Markdown        |          0 |          0 |          1 |          1 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\ZhihuApplication.class                | Java            |         21 |          0 |          1 |         22 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\control\PageControl.class             | Java            |         85 |          0 |          1 |         86 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\control\UserControl.class             | Java            |         61 |          0 |          1 |         62 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\model\Comment.class                   | Java            |         26 |          0 |          1 |         27 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\model\Date.class                      | Java            |         41 |          0 |          1 |         42 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\model\Post.class                      | Java            |         78 |          0 |          1 |         79 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\model\Reply.class                     | Java            |         11 |          0 |          1 |         12 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\model\User.class                      | Java            |         39 |          0 |          1 |         40 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\model\abstractClass\comment.class     | Java            |         64 |          0 |          1 |         65 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\service\CommentSerice.class           | Java            |         17 |          0 |          1 |         18 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\service\PostService.class             | Java            |         18 |          0 |          1 |         19 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\service\UserService.class             | Java            |         14 |          0 |          1 |         15 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\service\impl\CommentServiceImpl.class | Java            |         11 |          0 |          1 |         12 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\service\impl\PostServiceImpl.class    | Java            |        209 |          0 |          1 |        210 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\service\impl\UserServiceImpl.class    | Java            |         70 |          0 |          1 |         71 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\application.properties                           | Java Properties |          3 |          0 |          2 |          5 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\Header.css                            | CSS             |        224 |          0 |         28 |        252 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\Header.min.css                        | CSS             |          1 |          0 |          1 |          2 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\Header.sass                           | Sass            |        196 |          0 |          2 |        198 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\Homepage.css                          | CSS             |         34 |          0 |          6 |         40 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\Homepage.min.css                      | CSS             |          1 |          0 |          1 |          2 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\Homepage.sass                         | Sass            |         28 |          0 |          1 |         29 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\Login.sass                            | Sass            |         80 |          0 |          1 |         81 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\Posts.css                             | CSS             |        172 |          0 |         20 |        192 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\Posts.min.css                         | CSS             |          1 |          0 |          1 |          2 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\Posts.sass                            | Sass            |        153 |         35 |          1 |        189 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\SideBox.css                           | CSS             |         72 |          0 |          9 |         81 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\SideBox.min.css                       | CSS             |          1 |          0 |          1 |          2 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\SideBox.sass                          | Sass            |         64 |          0 |          2 |         66 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\login.css                             | CSS             |         83 |          0 |          7 |         90 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\login.min.css                         | CSS             |          1 |          0 |          1 |          2 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\js\Header.js                              | JavaScript      |         38 |          0 |          3 |         41 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\js\HomePage.js                            | JavaScript      |          9 |          2 |          1 |         12 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\js\Posts.js                               | JavaScript      |         37 |          4 |          3 |         44 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\templates\HomePage.html                          | HTML            |         32 |          6 |         10 |         48 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\templates\HomePage_Unit\Header.html              | HTML            |         48 |          0 |          3 |         51 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\templates\HomePage_Unit\Login.html               | HTML            |         22 |          1 |          5 |         28 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\templates\HomePage_Unit\Posts.html               | HTML            |         49 |          0 |          1 |         50 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\templates\HomePage_Unit\SideBox.html             | HTML            |         18 |          0 |          3 |         21 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\test\java\com\baidu\zhihu\ZhihuApplicationTests.class           | Java            |         17 |          0 |          1 |         18 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\mvnw.cmd                                                                | Batch           |        118 |         51 |         37 |        206 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\pom.xml                                                                 | XML             |         63 |          3 |          6 |         72 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\README.md                                                           | Markdown        |          0 |          0 |          1 |          1 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\ZhihuApplication.java                     | Java            |          9 |          0 |          5 |         14 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\control\HomePageControl.java              | Java            |        118 |          2 |         15 |        135 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\control\UserControl.java                  | Java            |         51 |          1 |         13 |         65 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\control\UserPageControl.java              | Java            |         59 |          0 |         11 |         70 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\model\Comment.java                        | Java            |         16 |          1 |          8 |         25 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\model\Date.java                           | Java            |         38 |          0 |         12 |         50 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\model\HotSearch.java                      | Java            |         20 |          0 |          9 |         29 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\model\Post.java                           | Java            |         64 |          4 |         21 |         89 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\model\Reply.java                          | Java            |          4 |          0 |          4 |          8 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\model\User.java                           | Java            |         24 |          0 |         12 |         36 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\model\abstractClass\comment.java          | Java            |         40 |          5 |         13 |         58 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\service\CommentSerice.java                | Java            |         13 |          8 |          8 |         29 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\service\HotSearchService.java             | Java            |          7 |          2 |          5 |         14 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\service\PostService.java                  | Java            |         11 |          6 |         10 |         27 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\service\UserService.java                  | Java            |          9 |          3 |          9 |         21 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\service\impl\CommentServiceImpl.java      | Java            |        267 |          1 |         24 |        292 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\service\impl\HotSearchServiceImpl.java    | Java            |         50 |          0 |         11 |         61 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\service\impl\PostServiceImpl.java         | Java            |        176 |          7 |         22 |        205 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\service\impl\UserServiceImpl.java         | Java            |         52 |          3 |         11 |         66 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\application.properties                               | Java Properties |          3 |          0 |          2 |          5 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\Header.css                                | CSS             |        227 |          0 |         29 |        256 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\Header.min.css                            | CSS             |          1 |          0 |          1 |          2 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\Header.sass                               | Sass            |        198 |          0 |          2 |        200 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\HeaderLogSuccess.css                      | CSS             |         10 |          0 |          2 |         12 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\HeaderLogSuccess.min.css                  | CSS             |          1 |          0 |          1 |          2 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\HeaderLogSuccess.sass                     | Sass            |         29 |          0 |          0 |         29 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\Homepage.css                              | CSS             |         51 |          0 |          8 |         59 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\Homepage.min.css                          | CSS             |          1 |          0 |          1 |          2 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\Homepage.sass                             | Sass            |         43 |          0 |          0 |         43 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\Login.sass                                | Sass            |         81 |          0 |          1 |         82 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\Posts.css                                 | CSS             |        308 |          0 |         38 |        346 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\Posts.min.css                             | CSS             |          1 |          0 |          1 |          2 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\Posts.sass                                | Sass            |        276 |          0 |          0 |        276 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\SideBox.css                               | CSS             |         72 |          0 |          9 |         81 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\SideBox.min.css                           | CSS             |          1 |          0 |          1 |          2 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\SideBox.sass                              | Sass            |         64 |          0 |          2 |         66 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\UserPage.css                              | CSS             |         25 |          0 |          3 |         28 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\UserPage.min.css                          | CSS             |          1 |          0 |          1 |          2 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\UserPage.sass                             | Sass            |         22 |          0 |          0 |         22 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\login.css                                 | CSS             |         87 |          0 |          8 |         95 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\login.min.css                             | CSS             |          1 |          0 |          1 |          2 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\js\Header.js                                  | JavaScript      |         82 |          8 |          6 |         96 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\js\HomePage.js                                | JavaScript      |         36 |          3 |          4 |         43 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\js\Login.js                                   | JavaScript      |         23 |          0 |          1 |         24 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\js\Posts.js                                   | JavaScript      |         99 |         12 |          4 |        115 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\templates\HomePage.html                              | HTML            |         36 |          7 |          9 |         52 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\templates\HomePage_LogSuccess.html                   | HTML            |         36 |          7 |          8 |         51 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\templates\UserPage.html                              | HTML            |         37 |          6 |          9 |         52 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\templates\UserPage_LogSuccess.html                   | HTML            |         36 |          6 |          9 |         51 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\templates\homepage_unit\Posts.html                   | HTML            |         99 |          1 |          0 |        100 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\templates\unit\Header.html                           | HTML            |         48 |          0 |          3 |         51 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\templates\unit\HeaderLogSuccess.html                 | HTML            |         51 |          0 |          3 |         54 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\templates\unit\Login.html                            | HTML            |         19 |          1 |          3 |         23 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\templates\unit\SideBox.html                          | HTML            |         18 |          0 |          3 |         21 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\templates\userpage_unit\NotFind.html                 | HTML            |          7 |          0 |          2 |          9 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\test\java\com\baidu\zhihu\ZhihuApplicationTests.java                | Java            |          9 |          0 |          5 |         14 |
| Total                                                                                                             |                 |      5,797 |        250 |        636 |      6,683 |
+-------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
