Date : 2024-04-21 13:46:32
Directory : d:\DevelopTools\Code\VSCode\Project\zhihu
Total : 105 files,  5797 codes, 250 comments, 636 blanks, all 6683 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |         36 |      1,819 |         43 |        244 |      2,106 |
| CSS             |         24 |      1,377 |          0 |        179 |      1,556 |
| Sass            |         12 |      1,234 |         35 |         12 |      1,281 |
| HTML            |         15 |        556 |         35 |         71 |        662 |
| JavaScript      |          7 |        324 |         29 |         22 |        375 |
| Batch           |          2 |        236 |        102 |         74 |        412 |
| XML             |          2 |        126 |          6 |         12 |        144 |
| Markdown        |          3 |        115 |          0 |         16 |        131 |
| Java Properties |          4 |         10 |          0 |          6 |         16 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |        105 |      5,797 |        250 |        636 |      6,683 |
| . (Files)                                                                                                         |          3 |        296 |         54 |         57 |        407 |
| .mvn                                                                                                              |          1 |          2 |          0 |          1 |          3 |
| .mvn\wrapper                                                                                                      |          1 |          2 |          0 |          1 |          3 |
| bin                                                                                                               |         44 |      2,332 |        102 |        174 |      2,608 |
| bin (Files)                                                                                                       |          2 |        181 |         54 |         43 |        278 |
| bin\.mvn                                                                                                          |          1 |          2 |          0 |          1 |          3 |
| bin\.mvn\wrapper                                                                                                  |          1 |          2 |          0 |          1 |          3 |
| bin\src                                                                                                           |         41 |      2,149 |         48 |        130 |      2,327 |
| bin\src (Files)                                                                                                   |          1 |          0 |          0 |          1 |          1 |
| bin\src\main                                                                                                      |         39 |      2,132 |         48 |        128 |      2,308 |
| bin\src\main\java                                                                                                 |         15 |        765 |          0 |         15 |        780 |
| bin\src\main\java\com                                                                                             |         15 |        765 |          0 |         15 |        780 |
| bin\src\main\java\com\baidu                                                                                       |         15 |        765 |          0 |         15 |        780 |
| bin\src\main\java\com\baidu\zhihu                                                                                 |         15 |        765 |          0 |         15 |        780 |
| bin\src\main\java\com\baidu\zhihu (Files)                                                                         |          1 |         21 |          0 |          1 |         22 |
| bin\src\main\java\com\baidu\zhihu\control                                                                         |          2 |        146 |          0 |          2 |        148 |
| bin\src\main\java\com\baidu\zhihu\model                                                                           |          6 |        259 |          0 |          6 |        265 |
| bin\src\main\java\com\baidu\zhihu\model (Files)                                                                   |          5 |        195 |          0 |          5 |        200 |
| bin\src\main\java\com\baidu\zhihu\model\abstractClass                                                             |          1 |         64 |          0 |          1 |         65 |
| bin\src\main\java\com\baidu\zhihu\service                                                                         |          6 |        339 |          0 |          6 |        345 |
| bin\src\main\java\com\baidu\zhihu\service (Files)                                                                 |          3 |         49 |          0 |          3 |         52 |
| bin\src\main\java\com\baidu\zhihu\service\impl                                                                    |          3 |        290 |          0 |          3 |        293 |
| bin\src\main\resources                                                                                            |         24 |      1,367 |         48 |        113 |      1,528 |
