Date : 2024-04-19 18:22:59
Directory : d:\DevelopTools\Code\VSCode\Project\zhihu
Total : 101 files,  5848 codes, 229 comments, 644 blanks, all 6721 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| bin\src\main\resources\templates\HomePage_Unit                                                                    |          4 |        137 |          1 |         12 |        150 |
| bin\src\test                                                                                                      |          1 |         17 |          0 |          1 |         18 |
| bin\src\test\java                                                                                                 |          1 |         17 |          0 |          1 |         18 |
| bin\src\test\java\com                                                                                             |          1 |         17 |          0 |          1 |         18 |
| bin\src\test\java\com\baidu                                                                                       |          1 |         17 |          0 |          1 |         18 |
| bin\src\test\java\com\baidu\zhihu                                                                                 |          1 |         17 |          0 |          1 |         18 |
| src                                                                                                               |         49 |      3,219 |         73 |        400 |      3,692 |
| src (Files)                                                                                                       |          1 |          0 |          0 |          1 |          1 |
| src\main                                                                                                          |         47 |      3,210 |         73 |        394 |      3,677 |
| src\main\java                                                                                                     |         18 |        953 |         43 |        213 |      1,209 |
| src\main\java\com                                                                                                 |         18 |        953 |         43 |        213 |      1,209 |
| src\main\java\com\baidu                                                                                           |         18 |        953 |         43 |        213 |      1,209 |
| src\main\java\com\baidu\zhihu                                                                                     |         18 |        953 |         43 |        213 |      1,209 |
| src\main\java\com\baidu\zhihu (Files)                                                                             |          1 |          9 |          0 |          5 |         14 |
| src\main\java\com\baidu\zhihu\control                                                                             |          2 |        153 |          3 |         28 |        184 |
| src\main\java\com\baidu\zhihu\model                                                                               |          7 |        206 |         10 |         79 |        295 |
| src\main\java\com\baidu\zhihu\model (Files)                                                                       |          6 |        166 |          5 |         66 |        237 |
| src\main\java\com\baidu\zhihu\model\abstractClass                                                                 |          1 |         40 |          5 |         13 |         58 |
| src\main\java\com\baidu\zhihu\service                                                                             |          8 |        585 |         30 |        101 |        716 |
| src\main\java\com\baidu\zhihu\service (Files)                                                                     |          4 |         40 |         19 |         33 |         92 |
| src\main\java\com\baidu\zhihu\service\impl                                                                        |          4 |        545 |         11 |         68 |        624 |
| src\main\resources                                                                                                |         29 |      2,257 |         30 |        181 |      2,468 |
| src\main\resources (Files)                                                                                        |          1 |          3 |          0 |          2 |          5 |
| src\main\resources\static                                                                                         |         21 |      1,949 |         14 |        143 |      2,106 |
| src\main\resources\static\css                                                                                     |         18 |      1,795 |          0 |        133 |      1,928 |
| src\main\resources\static\js                                                                                      |          3 |        154 |         14 |         10 |        178 |
| src\main\resources\templates                                                                                      |          7 |        305 |         16 |         36 |        357 |
| src\main\resources\templates (Files)                                                                              |          2 |         69 |         14 |         22 |        105 |
| src\main\resources\templates\bigUnit                                                                              |          5 |        236 |          2 |         14 |        252 |
| src\test                                                                                                          |          1 |          9 |          0 |          5 |         14 |
| src\test\java                                                                                                     |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com                                                                                                 |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com\baidu                                                                                           |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com\baidu\zhihu                                                                                     |          1 |          9 |          0 |          5 |         14 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                          | language        | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| d:\DevelopTools\Code\VSCode\Project\zhihu\.mvn\wrapper\maven-wrapper.properties                                   | Java Properties |          2 |          0 |          1 |          3 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\.VSCodeCounter\2024-03-25_16-29-36\details.md                       | Markdown        |         41 |          0 |          6 |         47 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\.VSCodeCounter\2024-03-25_16-29-36\diff-details.md                  | Markdown        |          9 |          0 |          6 |         15 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\.VSCodeCounter\2024-03-25_16-29-36\diff.md                          | Markdown        |         12 |          0 |          7 |         19 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\.VSCodeCounter\2024-03-25_16-29-36\results.json                     | JSON            |          1 |          0 |          0 |          1 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\.VSCodeCounter\2024-03-25_16-29-36\results.md                       | Markdown        |         51 |          0 |          7 |         58 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\.mvn\wrapper\maven-wrapper.properties                               | Java Properties |          2 |          0 |          1 |          3 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\mvnw.cmd                                                            | Batch           |        118 |         51 |         37 |        206 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\pom.xml                                                             | XML             |         63 |          3 |          6 |         72 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\README.md                                                       | Markdown        |          0 |          0 |          1 |          1 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\ZhihuApplication.class                | Java            |         21 |          0 |          1 |         22 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\control\PageControl.class             | Java            |         85 |          0 |          1 |         86 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\control\UserControl.class             | Java            |         61 |          0 |          1 |         62 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\model\Comment.class                   | Java            |         26 |          0 |          1 |         27 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\model\Date.class                      | Java            |         41 |          0 |          1 |         42 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\model\Post.class                      | Java            |         78 |          0 |          1 |         79 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\model\Reply.class                     | Java            |         11 |          0 |          1 |         12 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\model\User.class                      | Java            |         39 |          0 |          1 |         40 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\model\abstractClass\comment.class     | Java            |         64 |          0 |          1 |         65 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\service\CommentSerice.class           | Java            |         17 |          0 |          1 |         18 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\service\PostService.class             | Java            |         18 |          0 |          1 |         19 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\service\UserService.class             | Java            |         14 |          0 |          1 |         15 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\service\impl\CommentServiceImpl.class | Java            |         11 |          0 |          1 |         12 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\service\impl\PostServiceImpl.class    | Java            |        209 |          0 |          1 |        210 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\java\com\baidu\zhihu\service\impl\UserServiceImpl.class    | Java            |         70 |          0 |          1 |         71 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\application.properties                           | Java Properties |          3 |          0 |          2 |          5 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\Header.css                            | CSS             |        224 |          0 |         28 |        252 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\Header.min.css                        | CSS             |          1 |          0 |          1 |          2 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\Header.sass                           | Sass            |        196 |          0 |          2 |        198 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\Homepage.css                          | CSS             |         34 |          0 |          6 |         40 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\Homepage.min.css                      | CSS             |          1 |          0 |          1 |          2 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\Homepage.sass                         | Sass            |         28 |          0 |          1 |         29 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\Login.sass                            | Sass            |         80 |          0 |          1 |         81 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\Posts.css                             | CSS             |        172 |          0 |         20 |        192 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\Posts.min.css                         | CSS             |          1 |          0 |          1 |          2 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\Posts.sass                            | Sass            |        153 |         35 |          1 |        189 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\SideBox.css                           | CSS             |         72 |          0 |          9 |         81 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\SideBox.min.css                       | CSS             |          1 |          0 |          1 |          2 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\SideBox.sass                          | Sass            |         64 |          0 |          2 |         66 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\login.css                             | CSS             |         83 |          0 |          7 |         90 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\css\login.min.css                         | CSS             |          1 |          0 |          1 |          2 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\js\Header.js                              | JavaScript      |         38 |          0 |          3 |         41 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\js\HomePage.js                            | JavaScript      |          9 |          2 |          1 |         12 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\static\js\Posts.js                               | JavaScript      |         37 |          4 |          3 |         44 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\templates\HomePage.html                          | HTML            |         32 |          6 |         10 |         48 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\templates\HomePage_Unit\Header.html              | HTML            |         48 |          0 |          3 |         51 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\templates\HomePage_Unit\Login.html               | HTML            |         22 |          1 |          5 |         28 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\templates\HomePage_Unit\Posts.html               | HTML            |         49 |          0 |          1 |         50 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\main\resources\templates\HomePage_Unit\SideBox.html             | HTML            |         18 |          0 |          3 |         21 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\bin\src\test\java\com\baidu\zhihu\ZhihuApplicationTests.class           | Java            |         17 |          0 |          1 |         18 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\mvnw.cmd                                                                | Batch           |        118 |         51 |         37 |        206 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\pom.xml                                                                 | XML             |         63 |          3 |          6 |         72 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\README.md                                                           | Markdown        |          0 |          0 |          1 |          1 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\ZhihuApplication.java                     | Java            |          9 |          0 |          5 |         14 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\control\PageControl.java                  | Java            |        112 |          2 |         15 |        129 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\control\UserControl.java                  | Java            |         41 |          1 |         13 |         55 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\model\Comment.java                        | Java            |         16 |          1 |          8 |         25 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\model\Date.java                           | Java            |         38 |          0 |         12 |         50 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\model\HotSearch.java                      | Java            |         20 |          0 |          9 |         29 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\model\Post.java                           | Java            |         64 |          4 |         21 |         89 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\model\Reply.java                          | Java            |          4 |          0 |          4 |          8 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\model\User.java                           | Java            |         24 |          0 |         12 |         36 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\model\abstractClass\comment.java          | Java            |         40 |          5 |         13 |         58 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\service\CommentSerice.java                | Java            |         13 |          8 |          8 |         29 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\service\HotSearchService.java             | Java            |          7 |          2 |          6 |         15 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\service\PostService.java                  | Java            |         11 |          6 |         10 |         27 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\service\UserService.java                  | Java            |          9 |          3 |          9 |         21 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\service\impl\CommentServiceImpl.java      | Java            |        267 |          1 |         24 |        292 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\service\impl\HotSearchServiceImpl.java    | Java            |         50 |          0 |         11 |         61 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\service\impl\PostServiceImpl.java         | Java            |        176 |          7 |         22 |        205 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\java\com\baidu\zhihu\service\impl\UserServiceImpl.java         | Java            |         52 |          3 |         11 |         66 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\application.properties                               | Java Properties |          3 |          0 |          2 |          5 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\Header.css                                | CSS             |        227 |          0 |         29 |        256 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\Header.min.css                            | CSS             |          1 |          0 |          1 |          2 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\Header.sass                               | Sass            |        198 |          0 |          2 |        200 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\HeaderLogSuccess.css                      | CSS             |        213 |          0 |         28 |        241 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\HeaderLogSuccess.min.css                  | CSS             |          1 |          0 |          1 |          2 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\HeaderLogSuccess.sass                     | Sass            |        185 |          0 |          3 |        188 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\Homepage.css                              | CSS             |         51 |          0 |          8 |         59 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\Homepage.min.css                          | CSS             |          1 |          0 |          1 |          2 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\Homepage.sass                             | Sass            |         43 |          0 |          0 |         43 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\Login.sass                                | Sass            |         80 |          0 |          1 |         81 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\Posts.css                                 | CSS             |        302 |          0 |         37 |        339 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\Posts.min.css                             | CSS             |          1 |          0 |          1 |          2 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\Posts.sass                                | Sass            |        271 |          0 |          1 |        272 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\SideBox.css                               | CSS             |         72 |          0 |          9 |         81 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\SideBox.min.css                           | CSS             |          1 |          0 |          1 |          2 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\SideBox.sass                              | Sass            |         64 |          0 |          2 |         66 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\login.css                                 | CSS             |         83 |          0 |          7 |         90 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\css\login.min.css                             | CSS             |          1 |          0 |          1 |          2 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\js\Header.js                                  | JavaScript      |         29 |          0 |          3 |         32 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\js\HomePage.js                                | JavaScript      |         29 |          2 |          3 |         34 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\static\js\Posts.js                                   | JavaScript      |         96 |         12 |          4 |        112 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\templates\HomePage.html                              | HTML            |         35 |          7 |         11 |         53 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\templates\HomePage_LogSuccess.html                   | HTML            |         34 |          7 |         11 |         52 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\templates\bigUnit\Header.html                        | HTML            |         48 |          0 |          3 |         51 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\templates\bigUnit\HeaderLogSuccess.html              | HTML            |         50 |          0 |          3 |         53 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\templates\bigUnit\Login.html                         | HTML            |         22 |          1 |          5 |         28 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\templates\bigUnit\Posts.html                         | HTML            |         98 |          1 |          0 |         99 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\main\resources\templates\bigUnit\SideBox.html                       | HTML            |         18 |          0 |          3 |         21 |
| d:\DevelopTools\Code\VSCode\Project\zhihu\src\test\java\com\baidu\zhihu\ZhihuApplicationTests.java                | Java            |          9 |          0 |          5 |         14 |
| Total                                                                                                             |                 |      5,848 |        229 |        644 |      6,721 |
+-------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
